StepFunctions.1,Step Functions should have logging enabled,Step functions exist without logs emitted to CloudWatch and Splunk,Ensure all Step Functions instances emit logs to CloudWatch and CA Splunk
EC2.171,EC2 VPN connections should have logging enabled,Interim VPN connections used by platform clients do not have logging enabled (VPCs in use by those connections do emit logs),Configure all interim VPN connections to emit logs to CloudWatch and CA Splunk
RDS.37,Aurora PostgreSQL DB clusters should publish logs to CloudWatch Logs,Some database clusters do not emit logs to CloudWatch logs and/or Splunk,Configure all databases to emit full logs and have those logs shipped to CA Splunk
Athena.4,Athena workgroups should have logging enabled,Some AWS Athena workgroups do not log their execution (these workgroups facilitate only read-only access to audit data and may be unused),As appropriate either delete or enable logging for all Athena workgroups
KMS.3,AWS KMS keys should not be deleted unintentionally,Some KMS keys do not have deletion protection enabled,Enable deletion protection for all KMS keys
IAM.15,Ensure IAM password policy requires minimum password length of 14 or greater,Some IAM static principal passwords do not require high-complexity passwords,Configure high-complexity passwords for all static principals not deleted per remediation plans for IAM.19
EC2.172,EC2 VPC Block Public Access settings should block internet gateway traffic,Some VPCs are not explicitly configured to block internet gateway traffic (though no internet gateways exist),Configure all VPCs to explicitly block internet gateway traffic
Config.1,AWS Config should be enabled and use the service-linked role for resource recording,Asset configuration and change recording is active but improperly configured,Update asset configuration and change recording to reflect best practices required by this control
EC2.19,Security groups should not allow unrestricted access to ports with high risk,"Firewall (Security Group) rules exist which allow internal traffic from any origin to access ports in 20,21,22,23,25,110,135,143,445,1433,1434,3000,3306,3389,4333,5000,5432,5500,5601,8080,8088,8888,9200,9300","Remove or restrict origin (to specific internal IPs) of internal traffic accessing ports in Firewall (Security Group) rules exist which allow internal traffic from any origin to access ports in 20,21,22,23,25,110,135,143,445,1433,1434,3000,3306,3389,4333,5000,5432,5500,5601,8080,8088,8888,9200,9300"
EC2.19,Security groups should not allow unrestricted access to ports with high risk,"Firewall (Security Group) rules exist which allow internal traffic from any origin to access ports in 20,21,22,23,25,110,135,143,445,1433,1434,3000,3306,3389,4333,5000,5432,5500,5601,8080,8088,8888,9200,9300","Remove or restrict origin (to specific internal IPs) of internal traffic accessing ports in Firewall (Security Group) rules exist which allow internal traffic from any origin to access ports in 20,21,22,23,25,110,135,143,445,1433,1434,3000,3306,3389,4333,5000,5432,5500,5601,8080,8088,8888,9200,9300"
EC2.19,Security groups should not allow unrestricted access to ports with high risk,"Firewall (Security Group) rules exist which allow internal traffic from any origin to access ports in 20,21,22,23,25,110,135,143,445,1433,1434,3000,3306,3389,4333,5000,5432,5500,5601,8080,8088,8888,9200,9300","Remove or restrict origin (to specific internal IPs) of internal traffic accessing ports in Firewall (Security Group) rules exist which allow internal traffic from any origin to access ports in 20,21,22,23,25,110,135,143,445,1433,1434,3000,3306,3389,4333,5000,5432,5500,5601,8080,8088,8888,9200,9300"
EC2.19,Security groups should not allow unrestricted access to ports with high risk,"Firewall (Security Group) rules exist which allow internal traffic from any origin to access ports in 20,21,22,23,25,110,135,143,445,1433,1434,3000,3306,3389,4333,5000,5432,5500,5601,8080,8088,8888,9200,9300","Remove or restrict origin (to specific internal IPs) of internal traffic accessing ports in Firewall (Security Group) rules exist which allow internal traffic from any origin to access ports in 20,21,22,23,25,110,135,143,445,1433,1434,3000,3306,3389,4333,5000,5432,5500,5601,8080,8088,8888,9200,9300"
IAM.6,Hardware MFA should be enabled for the root user,Hardware MFA is not required to log into the root principal on this AWS account.,Put in place appropriate MFA and/or credential security practices for the root user of this AWS account.
RDS.2,"RDS DB Instances should prohibit public access, as determined by the PubliclyAccessible configuration",Relational database servers are publicly routable from the internet (perimiter firewall rules or authorization requirements may prevent internet users from accessing these databases even so),Remove public routability from all databases.
CloudFront.1,CloudFront distributions should have a default root object configured,"CDN and application website functionality does not define specific behavior for ""index"" or ""root"" route, resulting in a default page being served",Update CDN functionality to serve appropriate non-default content on the index/root route
CloudFront.1,CloudFront distributions should have a default root object configured,"CDN and application website functionality does not define specific behavior for ""index"" or ""root"" route, resulting in a default page being served",Update CDN functionality to serve appropriate non-default content on the index/root route
CloudWatch.15,CloudWatch alarms should have specified actions configured,"Automated alarms exist with a configuration that will not generate an alert under certain circumstances (e.g. ""no data"" should alert similar to ""failing"")",Update automated alarm configuration to alert under all circumstances required by this control
CloudWatch.15,CloudWatch alarms should have specified actions configured,"Automated alarms exist with a configuration that will not generate an alert under certain circumstances (e.g. ""no data"" should alert similar to ""failing"")",Update automated alarm configuration to alert under all circumstances required by this control
EC2.13,Security groups should not allow ingress from 0.0.0.0/0 or ::/0 to port 22,Internal resources allow SSH (TCP 22) access from a broad range of IPs (resources are not necessarily internet exposed),Remove SSH access or restrict SSH access to a specific set of known-friendly IPs
EC2.13,Security groups should not allow ingress from 0.0.0.0/0 or ::/0 to port 22,Internal resources allow SSH (TCP 22) access from a broad range of IPs (resources are not necessarily internet exposed),Remove SSH access or restrict SSH access to a specific set of known-friendly IPs
